,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,qvalue,-log(pvalue),-log(qvalue),BaseMean,log2(BaseMean),log2FC,abs(log2FC),sig
Rplp1,38041.75099017941,0.052988284336476746,0.04971593429588317,1.065820950303745,0.2865045884901499,0.6742589365262001,0.6742589365262001,0.5428684182341309,0.17117328876339702,38041.75099017941,15.215333955305926,0.052988284336476746,0.052988284336476746,normal
Aldoa,13.796385875925445,-0.5861395924653083,0.893890791191323,-0.6557172288173339,0.5120060814048456,,,0.29072488061619756,,13.796385875925445,3.887172925091866,-0.5861395924653083,0.5861395924653083,normal
mt-Nd4,34905.4895903469,0.15637481853616944,0.10081962866329285,1.5510354542012268,0.12089318773163106,0.442734886642171,0.442734886642171,0.9175981707183525,0.3538562551179812,34905.4895903469,15.091207657515868,0.15637481853616944,0.15637481853616944,normal
Ldha,37459.45554524382,-0.47677225048846855,0.04427860656210203,-10.767553170847453,4.8984636948440705e-27,1.4258698257268452e-24,1.4258698257268452e-24,26.309940106393764,23.845920121433004,37459.45554524382,15.193080823414125,-0.47677225048846855,0.47677225048846855,sig
Igfbp2,33543.0477191943,-0.08217838024142188,0.0420982366881808,-1.9520622882642895,0.05093080987282353,0.26417046604495464,0.26417046604495464,1.2930194178646262,0.5781157376324247,33543.0477191943,15.033769167201386,-0.08217838024142188,0.08217838024142188,normal
Flnb,49382.544001148926,0.4993089528082185,0.05356838294243628,9.320963698769251,1.1528833506664423e-20,2.0483892364243633e-18,2.0483892364243633e-18,19.938214632622653,17.688587514898657,49382.544001148926,15.591742754495401,0.4993089528082185,0.4993089528082185,sig
Rack1,37385.01772570464,0.034647546372177,0.046642675499287134,0.7428293081666496,0.45758502899009235,0.8056912202848717,0.8056912202848717,0.3395281929854689,0.09383136888990704,37385.01772570464,15.190211186307184,0.034647546372177,0.034647546372177,normal
Actn4,45173.530548308256,0.16103884692882237,0.04485774234858844,3.589990010584869,0.0003306906342394388,0.005465545024688922,0.005465545024688922,3.480578104922189,2.262366523666232,45173.530548308256,15.46322198829518,0.16103884692882237,0.16103884692882237,sig
Mmp14,39149.372768565154,0.047462855561457566,0.03877284609607762,1.2241261692228227,0.2209046353980575,0.6022090317097938,0.6022090317097938,0.6557951709249608,0.2202527353853453,39149.372768565154,15.256738423689011,0.047462855561457566,0.047462855561457566,normal
Gsn,30722.77184019435,-0.27253712025533966,0.04135389779570354,-6.590361121501221,4.387580512054506e-11,2.899830385768971e-09,2.899830385768971e-09,10.357774901153999,8.53762740371444,30722.77184019435,14.907067720644541,-0.27253712025533966,0.27253712025533966,sig
Ccn5,34778.6596536682,-0.4808478854456648,0.04231938866512557,-11.36235424501584,6.438577430389625e-30,2.2586199442348832e-27,2.2586199442348832e-27,29.191210077108863,26.646156841238884,34778.6596536682,15.085956194357044,-0.4808478854456648,0.4808478854456648,sig
Il6st,21406.18841442594,-0.6334442847966488,0.04174067717583012,-15.175706951957258,5.122286119630898e-52,3.8932220223705736e-49,3.8932220223705736e-49,51.290536166455965,48.4096908286628,21406.18841442594,14.385807706476776,-0.6334442847966488,0.6334442847966488,sig
Ddb1,37870.208539776446,-0.009502938423622034,0.043592980009418074,-0.21799240202365072,0.8274350313841006,0.9552209399787859,0.9552209399787859,0.08226609618555726,0.01989616567706133,37870.208539776446,15.208813840553189,-0.009502938423622034,0.009502938423622034,normal
Canx,37189.58150186298,-0.032176269512105574,0.041951544371770226,-0.7669865315794532,0.4430895233342953,0.7963620295239745,0.7963620295239745,0.3535085185576338,0.09888945527614057,37189.58150186298,15.182649685264753,-0.032176269512105574,0.032176269512105574,normal
Col8a1,34065.22844738104,0.08552180246294872,0.04031243417727564,2.121474532816921,0.033881888881510946,0.20049226720932148,0.20049226720932148,1.4700323861822269,0.6979023730342423,34065.22844738104,15.056054611649023,0.08552180246294872,0.08552180246294872,normal
Pcolce,28379.10879094689,-0.05833500859997482,0.045133158096079616,-1.2925089016769236,0.19618096520767658,0.5689566258676851,0.5689566258676851,0.7073431330738218,0.24492084057210597,28379.10879094689,14.79259249931644,-0.05833500859997482,0.05833500859997482,normal
Ctsl,35974.85303932619,-0.13606940243586668,0.04340816739663564,-3.1346497812854635,0.001720593912023066,0.020923951387011173,0.020923951387011173,2.764321618096627,1.6793562976475322,35974.85303932619,15.134741275299316,-0.13606940243586668,0.13606940243586668,sig
Nid1,35154.20182022621,-0.018877880880666,0.046789290439224404,-0.4034658509127613,0.6866055517458451,0.9123071229464116,0.9123071229464116,0.16329268928364815,0.03985893431712709,35154.20182022621,15.101450556329363,-0.018877880880666,0.018877880880666,normal
