,log2FC_Treat_6h_vs_Control,padj_Treat_6h_vs_Control,log2FC_Treat_24h_vs_Control,padj_Treat_24h_vs_Control,log2FC_Treat_72h_vs_Control,padj_Treat_72h_vs_Control,Cluster,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Smyd2,0.09345501771902355,0.7723318172916054,-0.10834656804402837,0.7026127053771477,-0.580212909022693,0.00012779006735606782,,4.595312194688241,4.619858849382023,4.675514569172361,4.702889557523283,4.500093516283775,4.542327208577344,4.0108602759553,3.9890835004750995
Msto1,0.2075535148691663,0.32392286602741693,-0.004520975258568845,0.9929455856492448,-0.9132423084593354,6.790407876908665e-09,1.0,4.662582857059736,4.518799128717211,4.769681368578794,4.802744470222593,4.539494665281039,4.672838636263333,3.63169402693127,3.722884473644908
Pnp,-0.3864753110173163,0.024272822253616835,-0.26132074816642153,0.18862775957756786,0.1891519972009483,0.27888548765591675,,4.518711820784837,4.6530740108192825,4.206514166813584,4.213380890442124,4.320958582081786,4.38604275201867,4.578873221596213,4.833904318188555
Ramac,0.008619209208772358,0.9880217451471032,0.17456212907519575,0.4796202585635389,0.055845138348394566,0.7942001847568463,,4.350752336876196,4.527354320215054,4.4290988526438415,4.450585342353015,4.594210921917799,4.653160843250381,4.462680351454615,4.408067039077832
Psen2,0.05607180010775359,0.9073707409235308,0.310522942621124,0.1529452820057815,0.534080996387862,0.0004112084187116007,,4.172987622591386,4.382097122529148,4.28179588386547,4.36540639619084,4.721813387383133,4.4523546296797845,4.678762336009893,4.784738858091394
Tprkb,-0.16074225543372545,0.5937859462448465,0.05376795449608043,0.8921998552242993,0.1178938008153596,0.5320110109565834,,4.53196422041595,4.430335421651113,4.221888056289815,4.417114803743415,4.605555341093008,4.498890462913608,4.457332212428916,4.618315474636024
Cpeb1,0.1436770979192801,0.5857965524170503,-0.13953720298934952,0.5995805091424089,-0.24853626279457788,0.19001160551028148,,4.547470798478084,4.532463189005201,4.6513857242765875,4.688933834461878,4.456009265425863,4.393360322004342,4.051652993733805,4.4228332236661085
Rhou,0.4175942002394589,0.003388180088921253,-0.2009418648141255,0.3710882830603908,-0.8967643521984684,5.778670604281933e-09,4.0,4.551025693786016,4.610226631863024,5.031372558623189,4.914906345750299,4.480862196773791,4.328036880267756,3.6845265180348696,3.6743480014394048
Nfs1,-0.08219733780760052,0.8280882692466728,-0.01479140985866541,0.9789909233021892,-0.21093063435920317,0.22404414538302664,,4.590713961934513,4.518799128717211,4.415791349341788,4.5222960268145425,4.577848283094084,4.542327208577344,4.336303240029909,4.2576354865498995
Gldn,1.020936193385039,3.5268097781370197e-19,0.12856610061966436,0.6589724972491204,-1.8345619708636203,4.7632849026071725e-24,4.0,4.381692418850809,4.347730697617809,5.395218931432389,5.287390810099204,4.562961537876757,4.4470900911987545,2.705040079751977,2.59060205587127
Uggt2,0.06900331395814824,0.8848170837641932,0.14181127647686334,0.6238756542446335,0.5824565228809063,4.628089405702946e-05,,4.228801881358003,4.3707323656384975,4.4516299666618755,4.2560738237789515,4.42524354508789,4.478392958331126,4.806236103365244,4.793287107665449
Pknox1,0.10993126123381018,0.7346473953320137,-0.015101968311195604,0.9796234359050409,-0.15613284800843896,0.3996416365190759,,4.556931122764322,4.4339801031488,4.574769494437522,4.6170554268585455,4.503562743397083,4.50058551505214,4.300910947569013,4.2841590690205145
Rasa2,0.23870179883733936,0.2530604534569085,-0.06896052510168539,0.8675709837287229,-0.20005770153414643,0.2825807689782489,,4.42753767183157,4.557739633282903,4.772667109150153,4.651044785620224,4.33075673921867,4.548895213758409,4.318715621842544,4.166258547049378
Gpbp1l1,-0.21270894081786273,0.3642508315613645,0.17249857262985074,0.4525095340952064,-0.03723821493792474,0.8605360914915275,,4.455626411234186,4.54599904745545,4.31289454919648,4.266552532447532,4.64692759308403,4.718707091184552,4.385939711707622,4.430160024745302
Rgs17,0.4862623910661975,0.002559991501519187,0.4250498634467576,0.0106081006111647,0.08845448235307536,0.7223262396490208,,4.326066853499715,4.155822916130216,4.7606868918856655,4.641414976311313,4.6007043661254805,4.734638689660929,4.430290025322487,4.089672506958334
Slc15a4,-0.16271098080318455,0.5207680591043332,-0.2168749020953629,0.2719421573362176,-0.42325027979933405,0.005471440900087827,,4.649377324707195,4.677877264604551,4.442284727808904,4.555148979325533,4.477337883014889,4.469765626932152,4.233680185891324,4.1706394615639
